code,dimension,dimension_name,label,definition,status,introduced_in,scope_notes,examples
CH-001,CH,Channel,Web UI,Use via a web user interface.,active,0.1.0,Includes direct SaaS UI usage.,chat.openai.com|claude.ai
CH-002,CH,Channel,API,Use via programmatic API integration.,active,0.1.0,Includes internal apps calling model APIs.,openai api|azure openai
CH-003,CH,Channel,IDE Plugin,Use via IDE/editor plugin.,active,0.1.0,Often developer tooling.,cursor|copilot
CH-004,CH,Channel,ChatOps,Use via chat platforms (Slack/Teams) integrations.,active,0.1.0,Includes bot-based workflows.,slack bot|teams bot
CH-005,CH,Channel,Desktop App,Use via native desktop application.,active,0.1.0,Includes Electron apps.,desktop client
CH-006,CH,Channel,Mobile App,Use via native mobile application.,active,0.1.0,Includes iOS/Android.,mobile client
CH-007,CH,Channel,Email,Use via email interface or email-based automation.,active,0.1.0,Often via add-ins or automation.,email assistant
CH-008,CH,Channel,Command Line,Use via command-line interface.,active,0.1.0,Often internal tools.,cli tool
DT-001,DT,Data Type,Public,Data that is publicly available and intended for public disclosure.,active,0.1.0,Still consider IP/copyright constraints.,public web|press release
DT-002,DT,Data Type,Internal,Non-public internal business data.,active,0.1.0,May include confidential business info.,internal wiki|project docs
DT-003,DT,Data Type,Confidential,Highly sensitive internal data requiring restricted access.,active,0.1.0,Includes trade secrets.,strategy deck|M&A
DT-004,DT,Data Type,Personal Data,Personal data as defined by applicable privacy laws.,active,0.1.0,Includes identifiers and personal attributes.,name|email
DT-005,DT,Data Type,Sensitive Personal Data,Special category/sensitive personal data.,active,0.1.0,Higher controls required.,health|biometrics
DT-006,DT,Data Type,Credentials,Authentication secrets and credentials.,active,0.1.0,Must never be provided to external AI services unless explicitly allowed.,api key|password
DT-007,DT,Data Type,Source Code,Source code and related artifacts.,active,0.1.0,Consider license/IP and secrets scanning.,repo|patch
DT-008,DT,Data Type,Customer Data,Customer-provided or customer-related data.,active,0.1.0,May include PII and contractual constraints.,tickets|usage logs
DT-009,DT,Data Type,Operational Logs,Operational or system logs used for monitoring and troubleshooting.,active,0.1.0,May include personal data; classify carefully.,syslog|audit log
DT-010,DT,Data Type,Security Telemetry,Security telemetry such as alerts and detections.,active,0.1.0,High integrity expectations.,edr alerts
EV-001,EV,Evidence Type,Request Record,Evidence that an AI use/service was requested and described.,active,0.1.0,Lifecycle: request.,request form
EV-002,EV,Evidence Type,Review/Approval Record,Evidence that a review/approval was performed.,active,0.1.0,Lifecycle: review/approval.,approval log
EV-003,EV,Evidence Type,Exception Record,Evidence that an exception was granted and tracked.,active,0.1.0,Lifecycle: exception.,exception memo
EV-004,EV,Evidence Type,Renewal/Re-evaluation Record,Evidence that renewal or re-evaluation occurred.,active,0.1.0,Lifecycle: renewal.,renewal checklist
