code,dimension,dimension_name,label,definition,status,introduced_in,scope_notes,examples
CH-001,CH,チャネル,Web UI,WebブラウザUI経由の利用。,active,0.1.0,Includes direct SaaS UI usage.,chat.openai.com|claude.ai
CH-002,CH,チャネル,API,API連携による利用。,active,0.1.0,Includes internal apps calling model APIs.,openai api|azure openai
CH-003,CH,チャネル,IDEプラグイン,IDE/エディタプラグイン経由の利用。,active,0.1.0,Often developer tooling.,cursor|copilot
CH-004,CH,チャネル,チャット連携,Slack/Teams等のチャット連携経由の利用。,active,0.1.0,Includes bot-based workflows.,slack bot|teams bot
CH-005,CH,チャネル,デスクトップアプリ,ネイティブデスクトップアプリ経由の利用。,active,0.1.0,Includes Electron apps.,desktop client
CH-006,CH,チャネル,モバイルアプリ,ネイティブモバイルアプリ経由の利用。,active,0.1.0,Includes iOS/Android.,mobile client
CH-007,CH,チャネル,メール,メール経由またはメール起点の自動化で利用。,active,0.1.0,Often via add-ins or automation.,email assistant
CH-008,CH,チャネル,CLI,CLI経由の利用。,active,0.1.0,Often internal tools.,cli tool
DT-001,DT,データ種別,公開情報,公開されており、公に利用されることを意図したデータ。,active,0.1.0,Still consider IP/copyright constraints.,public web|press release
DT-002,DT,データ種別,社内情報,非公開の社内業務データ。,active,0.1.0,May include confidential business info.,internal wiki|project docs
DT-003,DT,データ種別,機密情報,アクセス制限が必要な高機密データ。,active,0.1.0,Includes trade secrets.,strategy deck|M&A
DT-004,DT,データ種別,個人情報,各国のプライバシー法令等で定義される個人データ。,active,0.1.0,Includes identifiers and personal attributes.,name|email
DT-005,DT,データ種別,要配慮個人情報,要配慮個人情報（特別カテゴリ）に該当するデータ。,active,0.1.0,Higher controls required.,health|biometrics
DT-006,DT,データ種別,認証情報,認証情報（パスワード、APIキー等）。,active,0.1.0,Must never be provided to external AI services unless explicitly allowed.,api key|password
DT-007,DT,データ種別,ソースコード,ソースコードおよび関連アーティファクト。,active,0.1.0,Consider license/IP and secrets scanning.,repo|patch
DT-008,DT,データ種別,顧客データ,顧客から提供された、または顧客に関連するデータ。,active,0.1.0,May include PII and contractual constraints.,tickets|usage logs
DT-009,DT,データ種別,運用ログ,監視・障害対応等に用いる運用/システムログ。,active,0.1.0,May include personal data; classify carefully.,syslog|audit log
DT-010,DT,データ種別,セキュリティテレメトリ,アラート・検知等のセキュリティテレメトリ。,active,0.1.0,High integrity expectations.,edr alerts
FS-001,FS,機能スコープ,社内生産性,社内業務の生産性向上を目的とした利用。,active,0.1.0,Exclude customer-facing core functions.,microsoft 365 copilot|notion ai
FS-002,FS,機能スコープ,顧客向け機能,顧客に提供する製品・サービス機能に組み込まれたAI。,active,0.1.0,Includes AI-as-a-feature.,chatbot|recommendation
FS-003,FS,機能スコープ,開発支援,ソフトウェア開発・エンジニアリング作業を支援するAI利用。,active,0.1.0,Includes code generation and review tools.,cursor|github copilot
FS-004,FS,機能スコープ,IT運用,IT運用・システム管理（監視、インシデント対応等）でのAI利用。,active,0.1.0,May overlap with security operations; classify by primary intent.,aops|incident summarization
FS-005,FS,機能スコープ,セキュリティ運用,セキュリティ監視・対応（SOC、検知、トリアージ等）でのAI利用。,active,0.1.0,"If primary goal is security posture, use FS-005.",soc copilot|alert triage
FS-006,FS,機能スコープ,ガバナンス/コンプライアンス,ガバナンス/コンプライアンス業務（規程、監査証跡等）を支援するAI利用。,active,0.1.0,Includes evidence generation and control mapping support.,policy drafting|evidence bundle
IM-001,IM,統合形態,単体利用,企業システム統合なしの単体利用。,active,0.1.0,Often highest shadow AI risk.,personal account
IM-002,IM,統合形態,SaaS連携,SaaSアプリがAI機能を統合して提供。,active,0.1.0,Vendor-managed integration.,crm ai|support ai
IM-003,IM,統合形態,社内アプリ組込み,社内業務アプリにAIを組み込む。,active,0.1.0,Often via API with internal controls.,internal portal
IM-004,IM,統合形態,ワークフロー/RPA,ワークフロー自動化/RPA内でAIを呼び出す。,active,0.1.0,Requires traceability of triggers and outputs.,n8n|zapier-like
IM-005,IM,統合形態,オンプレ/プライベート,オンプレまたは専用環境でホストするAI。,active,0.1.0,May reduce data exfiltration risk.,self-hosted llm
IM-006,IM,統合形態,マネージド,企業統制を伴うマネージドサービスとして利用。,active,0.1.0,Includes centrally managed accounts and logging.,enterprise chatgpt
IM-007,IM,統合形態,シャドー/未管理,承認された統制外での利用。,active,0.1.0,Track as shadow AI.,personal SaaS
LG-001,LG,ログ/記録種別,申請記録,AI利用/サービスの申請と内容説明の証跡。,active,0.1.0,Lifecycle: request.,request form
LG-002,LG,ログ/記録種別,審査/承認記録,審査・承認が実施されたことの証跡。,active,0.1.0,Lifecycle: review/approval.,approval log
LG-003,LG,ログ/記録種別,例外記録,例外が付与され、管理された証跡。,active,0.1.0,Lifecycle: exception.,exception memo
LG-004,LG,ログ/記録種別,更新/再評価記録,更新または再評価が行われた証跡。,active,0.1.0,Lifecycle: renewal.,renewal checklist
LG-005,LG,ログ/記録種別,変更管理記録,変更内容と承認の証跡。,active,0.1.0,Lifecycle: change log.,change ticket
LG-006,LG,ログ/記録種別,完全性証明,完全性（ハッシュ、署名、WORM等）の証跡。,active,0.1.0,Supports evidence readiness.,sha256|signature
LG-007,LG,ログ/記録種別,アクセスログ,アクセス制御とアクセス履歴の証跡。,active,0.1.0,Supports accountability and SoD.,audit log
LG-008,LG,ログ/記録種別,AI資産台帳,利用するモデル/サービスの台帳記録。,active,0.1.0,Supports governance baseline.,inventory
LG-009,LG,ログ/記録種別,リスク評価,利用/サービスのリスク評価文書。,active,0.1.0,May reference RS codes.,risk assessment
LG-010,LG,ログ/記録種別,統制マッピング,外部フレームワークへの統制マッピング証跡。,active,0.1.0,Informative mapping only.,coverage mapping
LG-011,LG,ログ/記録種別,教育/ガイダンス,利用者に提供した教育/ガイダンスの証跡。,active,0.1.0,Supports adoption and safe use.,training
LG-012,LG,ログ/記録種別,監視証跡,監視・継続的監督の証跡。,active,0.1.0,Includes periodic review logs.,monitoring log
LG-013,LG,ログ/記録種別,インシデント記録,AI利用に関連するインシデント対応の証跡。,active,0.1.0,Link to IR processes.,incident ticket
LG-014,LG,ログ/記録種別,第三者評価,ベンダー/第三者評価の証跡。,active,0.1.0,Supports third-party risk management.,vendor assessment
LG-015,LG,ログ/記録種別,宣誓/サインオフ,正式な宣誓/サインオフの証跡。,active,0.1.0,Used where required by policy.,sign-off
OB-001,OB,成果,効率化,時間・コスト効率の改善。,active,0.1.0,Measure via cycle time reduction.,time saved
OB-002,OB,成果,品質向上,成果物の品質・精度向上。,active,0.1.0,Measure via error reduction.,fewer errors
OB-003,OB,成果,売上貢献,売上成長への寄与。,active,0.1.0,Measure via conversion uplift.,conversion
OB-004,OB,成果,リスク低減,運用・セキュリティ・コンプライアンスリスクの低減。,active,0.1.0,Measure via incident reduction.,fewer incidents
OB-005,OB,成果,新規性/革新,新たな能力・イノベーションを実現。,active,0.1.0,Measure via new features/offerings.,new feature
OB-006,OB,成果,顧客満足,顧客満足の向上。,active,0.1.0,Measure via NPS/CSAT.,csat
OB-007,OB,成果,従業員体験,従業員体験の向上。,active,0.1.0,Measure via surveys.,ex
