standard_id,standard_version,dimension_id,dimension_name_en,dimension_name_ja,code,label_en,label_ja,definition_en,definition_ja,scope_notes,examples,status,introduced_in,deprecated_in,removed_in,replaced_by,backward_compatible,references,owner,last_reviewed_date
AIMO-STD,0.1.0,CH,Channel,チャネル,CH-001,Web UI,Web UI,Use via a web user interface.,WebブラウザUI経由の利用。,Includes direct SaaS UI usage.,chat.openai.com|claude.ai,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,CH,Channel,チャネル,CH-002,API,API,Use via programmatic API integration.,API連携による利用。,Includes internal apps calling model APIs.,openai api|azure openai,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,CH,Channel,チャネル,CH-003,IDE Plugin,IDEプラグイン,Use via IDE/editor plugin.,IDE/エディタプラグイン経由の利用。,Often developer tooling.,cursor|copilot,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,CH,Channel,チャネル,CH-004,ChatOps,チャット連携,Use via chat platforms (Slack/Teams) integrations.,Slack/Teams等のチャット連携経由の利用。,Includes bot-based workflows.,slack bot|teams bot,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,CH,Channel,チャネル,CH-005,Desktop App,デスクトップアプリ,Use via native desktop application.,ネイティブデスクトップアプリ経由の利用。,Includes Electron apps.,desktop client,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,CH,Channel,チャネル,CH-006,Mobile App,モバイルアプリ,Use via native mobile application.,ネイティブモバイルアプリ経由の利用。,Includes iOS/Android.,mobile client,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,CH,Channel,チャネル,CH-007,Email,メール,Use via email interface or email-based automation.,メール経由またはメール起点の自動化で利用。,Often via add-ins or automation.,email assistant,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,CH,Channel,チャネル,CH-008,Command Line,CLI,Use via command-line interface.,CLI経由の利用。,Often internal tools.,cli tool,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,DT,Data Type,データ種別,DT-001,Public,公開情報,Data that is publicly available and intended for public disclosure.,公開されており、公に利用されることを意図したデータ。,Still consider IP/copyright constraints.,public web|press release,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,DT,Data Type,データ種別,DT-002,Internal,社内情報,Non-public internal business data.,非公開の社内業務データ。,May include confidential business info.,internal wiki|project docs,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,DT,Data Type,データ種別,DT-003,Confidential,機密情報,Highly sensitive internal data requiring restricted access.,アクセス制限が必要な高機密データ。,Includes trade secrets.,strategy deck|M&A,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,DT,Data Type,データ種別,DT-004,Personal Data,個人情報,Personal data as defined by applicable privacy laws.,各国のプライバシー法令等で定義される個人データ。,Includes identifiers and personal attributes.,name|email,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,DT,Data Type,データ種別,DT-005,Sensitive Personal Data,要配慮個人情報,Special category/sensitive personal data.,要配慮個人情報（特別カテゴリ）に該当するデータ。,Higher controls required.,health|biometrics,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,DT,Data Type,データ種別,DT-006,Credentials,認証情報,Authentication secrets and credentials.,認証情報（パスワード、APIキー等）。,Must never be provided to external AI services unless explicitly allowed.,api key|password,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,DT,Data Type,データ種別,DT-007,Source Code,ソースコード,Source code and related artifacts.,ソースコードおよび関連アーティファクト。,Consider license/IP and secrets scanning.,repo|patch,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,DT,Data Type,データ種別,DT-008,Customer Data,顧客データ,Customer-provided or customer-related data.,顧客から提供された、または顧客に関連するデータ。,May include PII and contractual constraints.,tickets|usage logs,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,DT,Data Type,データ種別,DT-009,Operational Logs,運用ログ,Operational or system logs used for monitoring and troubleshooting.,監視・障害対応等に用いる運用/システムログ。,May include personal data; classify carefully.,syslog|audit log,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,DT,Data Type,データ種別,DT-010,Security Telemetry,セキュリティテレメトリ,Security telemetry such as alerts and detections.,アラート・検知等のセキュリティテレメトリ。,High integrity expectations.,edr alerts,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,FS,Functional Scope,機能スコープ,FS-001,End-user Productivity,社内生産性,"AI used to improve productivity of internal end users (writing, search, summarization, meeting notes).",社内業務の生産性向上を目的とした利用。,Exclude customer-facing core functions.,microsoft 365 copilot|notion ai,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,FS,Functional Scope,機能スコープ,FS-002,Customer-facing Features,顧客向け機能,AI embedded in product/service features provided to customers.,顧客に提供する製品・サービス機能に組み込まれたAI。,Includes AI-as-a-feature.,chatbot|recommendation,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,FS,Functional Scope,機能スコープ,FS-003,Developer Tooling,開発支援,AI used to assist software development and engineering tasks.,ソフトウェア開発・エンジニアリング作業を支援するAI利用。,Includes code generation and review tools.,cursor|github copilot,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,FS,Functional Scope,機能スコープ,FS-004,IT Operations,IT運用,"AI used for IT operations and system administration (monitoring, incident handling).",IT運用・システム管理（監視、インシデント対応等）でのAI利用。,May overlap with security operations; classify by primary intent.,aops|incident summarization,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,FS,Functional Scope,機能スコープ,FS-005,Security Operations,セキュリティ運用,"AI used for security monitoring/response (SOC, detection, triage).",セキュリティ監視・対応（SOC、検知、トリアージ等）でのAI利用。,"If primary goal is security posture, use FS-005.",soc copilot|alert triage,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,FS,Functional Scope,機能スコープ,FS-006,Governance & Compliance,ガバナンス/コンプライアンス,"AI used to support governance/compliance activities (policy, audit evidence).",ガバナンス/コンプライアンス業務（規程、監査証跡等）を支援するAI利用。,Includes evidence generation and control mapping support.,policy drafting|evidence bundle,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,IM,Integration Mode,統合形態,IM-001,Standalone,単体利用,Used standalone without integration into enterprise systems.,企業システム統合なしの単体利用。,Often highest shadow AI risk.,personal account,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,IM,Integration Mode,統合形態,IM-002,SaaS Integrated,SaaS連携,SaaS application integrates AI features.,SaaSアプリがAI機能を統合して提供。,Vendor-managed integration.,crm ai|support ai,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,IM,Integration Mode,統合形態,IM-003,Enterprise App Embedded,社内アプリ組込み,AI embedded into internal enterprise applications.,社内業務アプリにAIを組み込む。,Often via API with internal controls.,internal portal,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,IM,Integration Mode,統合形態,IM-004,RPA/Workflow,ワークフロー/RPA,AI invoked within workflow automation or RPA.,ワークフロー自動化/RPA内でAIを呼び出す。,Requires traceability of triggers and outputs.,n8n|zapier-like,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,IM,Integration Mode,統合形態,IM-005,On-prem / Private,オンプレ/プライベート,AI hosted in private/on-prem environment.,オンプレまたは専用環境でホストするAI。,May reduce data exfiltration risk.,self-hosted llm,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,IM,Integration Mode,統合形態,IM-006,Managed Service,マネージド,Use via managed service with enterprise controls.,企業統制を伴うマネージドサービスとして利用。,Includes centrally managed accounts and logging.,enterprise chatgpt,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,IM,Integration Mode,統合形態,IM-007,Shadow / Unmanaged,シャドー/未管理,Use outside of approved governance controls.,承認された統制外での利用。,Track as shadow AI.,personal SaaS,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,LG,Log/Event Type,ログ/記録種別,LG-001,Request Record,申請記録,Evidence that an AI use/service was requested and described.,AI利用/サービスの申請と内容説明の証跡。,Lifecycle: request.,request form,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,LG,Log/Event Type,ログ/記録種別,LG-002,Review/Approval Record,審査/承認記録,Evidence that a review/approval was performed.,審査・承認が実施されたことの証跡。,Lifecycle: review/approval.,approval log,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,LG,Log/Event Type,ログ/記録種別,LG-003,Exception Record,例外記録,Evidence that an exception was granted and tracked.,例外が付与され、管理された証跡。,Lifecycle: exception.,exception memo,active,0.1.0,,,,true,,AIMO WG,2026-02-03
